state,district,year,predicted_crimes
Selangor,Kuala Selangor,2025,360.2758
Selangor,Petaling Jaya,2025,2406.4966
Selangor,Sabak Bernam,2025,237.48257
Selangor,Sepang,2025,620.206
Selangor,Serdang,2025,1281.257
Selangor,Shah Alam,2025,987.8627
Selangor,Subang Jaya,2025,1010.5285
Terengganu,Besut,2025,300.08585
Terengganu,Dungun,2025,211.69482
Terengganu,Hulu Terengganu,2025,93.84101
Terengganu,Kemaman,2025,262.28198
Terengganu,Kuala Terengganu,2025,466.55185
Terengganu,Marang,2025,115.82301
Terengganu,Setiu,2025,66.566315
W.P. Kuala Lumpur,Brickfields,2025,1314.1876
W.P. Kuala Lumpur,Cheras,2025,1205.1339
W.P. Kuala Lumpur,Dang Wangi,2025,2044.8436
W.P. Kuala Lumpur,Sentul,2025,1699.4382
W.P. Kuala Lumpur,W.P. Putrajaya,2025,192.31657
W.P. Kuala Lumpur,Wangsa Maju,2025,1551.2543
Johor,Batu Pahat,2026,474.13553
Johor,Iskandar Puteri,2026,513.9588
Johor,Johor Bahru Selatan,2026,1784.2023
Johor,Johor Bahru Utara,2026,1062.6556
Johor,Kluang,2026,437.43134
Johor,Kota Tinggi,2026,363.1639
Johor,Kulaijaya,2026,467.55463
Johor,Ledang,2026,156.03076
Johor,Mersing,2026,101.60109
Johor,Muar,2026,232.57114
Johor,Nusajaya,2026,93.94854
Johor,Pontian,2026,195.07361
Johor,Segamat,2026,247.59496
Johor,Seri Alam,2026,1088.5453
Kedah,Baling,2026,239.64917
Kedah,Kota Setar,2026,1078.17
Kedah,Kuala Muda,2026,1372.6405
Kedah,Kubang Pasu,2026,447.64105
Kedah,Kulim,2026,625.574
Kedah,Langkawi,2026,293.8533
Kedah,Padang Terap,2026,78.65595
Kedah,Pendang,2026,174.84543
Kedah,Sik,2026,50.888283
Kedah,Yan,2026,99.698364
Kelantan,Bachok,2026,206.76346
Kelantan,Gua Musang,2026,125.579384
Kelantan,Jeli,2026,35.59211
Kelantan,Kota Bharu,2026,1135.3174
Kelantan,Kuala Krai,2026,129.5779
Kelantan,Machang,2026,166.37396
Kelantan,Pasir Mas,2026,275.50833
Kelantan,Pasir Puteh,2026,261.36472
Kelantan,Tanah Merah,2026,172.47858
Kelantan,Tumpat,2026,233.51003
Melaka,Alor Gajah,2026,265.54547
Melaka,Jasin,2026,175.0966
Melaka,Melaka Tengah,2026,1527.2771
Negeri Sembilan,Jelebu,2026,51.23986
Negeri Sembilan,Jempol,2026,183.23175
Negeri Sembilan,Kuala Pilah,2026,152.28508
Negeri Sembilan,Nilai,2026,683.73083
Negeri Sembilan,Port Dickson,2026,261.9321
Negeri Sembilan,Rembau,2026,93.87564
Negeri Sembilan,Seremban,2026,986.59595
Negeri Sembilan,Tampin,2026,140.4001
Pahang,Bentong,2026,295.64606
Pahang,Bera,2026,106.13398
Pahang,Jerantut,2026,136.10135
Pahang,Kuala Lipis,2026,85.71197
Pahang,Kuantan,2026,993.078
Pahang,Maran,2026,171.70065
Pahang,Pekan,2026,129.65132
Pahang,Raub,2026,83.09363
Pahang,Rompin,2026,146.89091
Pahang,Temerloh,2026,221.81053
Perak,Batu Gajah,2026,73.38815
Perak,Gerik,2026,58.264736
Perak,Hilir Perak,2026,410.2879
Perak,Ipoh,2026,1374.3918
Perak,Kampar,2026,126.70597
Perak,Kerian,2026,154.18686
Perak,Kuala Kangsar,2026,96.26135
Perak,Manjung,2026,397.74374
Perak,Pengkalan Hulu,2026,11.842594
Perak,Perak Tengah,2026,100.45769
Perak,Selama,2026,26.017147
Perak,Sungai Siput,2026,85.85877
Perak,Taiping,2026,489.5956
Perak,Tanjong Malim,2026,99.47647
Perak,Tapah,2026,133.82292
Perlis,Arau,2026,101.91256
Perlis,Kangar,2026,258.96716
Perlis,Padang Besar,2026,60.97657
Pulau Pinang,Barat Daya,2026,365.78174
Pulau Pinang,Seberang Perai Selatan,2026,328.69965
Pulau Pinang,Seberang Perai Tengah,2026,1327.144
Pulau Pinang,Seberang Perai Utara,2026,741.54584
Pulau Pinang,Timur Laut,2026,1103.653
