series,date,state,sector,value
abs,1/1/2017,Negeri Sembilan,GDP at purchasers' prices,43815.729
abs,1/1/2017,Negeri Sembilan,Agriculture,3321.278
abs,1/1/2017,Negeri Sembilan,Mining and quarrying,217.007
abs,1/1/2017,Negeri Sembilan,Manufacturing,16653.928
abs,1/1/2017,Negeri Sembilan,Construction,1715.817
abs,1/1/2017,Negeri Sembilan,Services,20915.752
abs,1/1/2017,Negeri Sembilan,(plus) Import dutie,991.945
abs,1/1/2017,Pahang,GDP at purchasers' prices,54591.139
abs,1/1/2017,Pahang,Agriculture,12253.554
abs,1/1/2017,Pahang,Mining and quarrying,709.071
abs,1/1/2017,Pahang,Manufacturing,11531.092
abs,1/1/2017,Pahang,Construction,3230.848
abs,1/1/2017,Pahang,Services,26719.548
abs,1/1/2017,Pahang,(plus) Import dutie,147.025
abs,1/1/2017,Perak,GDP at purchasers' prices,69336.571
abs,1/1/2017,Perak,Agriculture,10941.99
abs,1/1/2017,Perak,Mining and quarrying,438.054
abs,1/1/2017,Perak,Manufacturing,12691.378
abs,1/1/2017,Perak,Construction,2113.067
abs,1/1/2017,Perak,Services,43027.708
abs,1/1/2017,Perak,(plus) Import dutie,124.374
abs,1/1/2017,Perlis,GDP at purchasers' prices,5694.648
abs,1/1/2017,Perlis,Agriculture,1248.989
abs,1/1/2017,Perlis,Mining and quarrying,30.706
abs,1/1/2017,Perlis,Manufacturing,458.684
abs,1/1/2017,Perlis,Construction,121.183
abs,1/1/2017,Perlis,Services,3722.87
abs,1/1/2017,Perlis,(plus) Import dutie,112.216
abs,1/1/2017,Pulau Pinang,GDP at purchasers' prices,86767.823
abs,1/1/2017,Pulau Pinang,Agriculture,2034.414
abs,1/1/2017,Pulau Pinang,Mining and quarrying,143.794
abs,1/1/2017,Pulau Pinang,Manufacturing,37425.53
abs,1/1/2017,Pulau Pinang,Construction,2688.806
abs,1/1/2017,Pulau Pinang,Services,43458.075
abs,1/1/2017,Pulau Pinang,(plus) Import dutie,1017.204
abs,1/1/2017,Sabah,GDP at purchasers' prices,83793.257
abs,1/1/2017,Sabah,Agriculture,13882.585
abs,1/1/2017,Sabah,Mining and quarrying,25440.572
abs,1/1/2017,Sabah,Manufacturing,6362.349
abs,1/1/2017,Sabah,Construction,2322.385
abs,1/1/2017,Sabah,Services,35433.648
abs,1/1/2017,Sabah,(plus) Import dutie,351.717
abs,1/1/2017,Sarawak,GDP at purchasers' prices,130168.608
abs,1/1/2017,Sarawak,Agriculture,16728.012
abs,1/1/2017,Sarawak,Mining and quarrying,30213.547
abs,1/1/2017,Sarawak,Manufacturing,34811.03
abs,1/1/2017,Sarawak,Construction,4354.593
abs,1/1/2017,Sarawak,Services,43541.213
abs,1/1/2017,Sarawak,(plus) Import dutie,520.213
abs,1/1/2017,Selangor,GDP at purchasers' prices,302186.45
abs,1/1/2017,Selangor,Agriculture,4319.285
abs,1/1/2017,Selangor,Mining and quarrying,691.631
abs,1/1/2017,Selangor,Manufacturing,84963.994
abs,1/1/2017,Selangor,Construction,17580.447
abs,1/1/2017,Selangor,Services,186017.921
abs,1/1/2017,Selangor,(plus) Import dutie,8613.171
abs,1/1/2017,Terengganu,GDP at purchasers' prices,33978.557
abs,1/1/2017,Terengganu,Agriculture,2921.319
abs,1/1/2017,Terengganu,Mining and quarrying,173.812
abs,1/1/2017,Terengganu,Manufacturing,12586.427
abs,1/1/2017,Terengganu,Construction,1275.923
abs,1/1/2017,Terengganu,Services,16916.309
abs,1/1/2017,Terengganu,(plus) Import dutie,104.767
abs,1/1/2017,W.P. Kuala Lumpur,GDP at purchasers' prices,206175.307
abs,1/1/2017,W.P. Kuala Lumpur,Agriculture,0
abs,1/1/2017,W.P. Kuala Lumpur,Mining and quarrying,145.62
abs,1/1/2017,W.P. Kuala Lumpur,Manufacturing,5870.658
abs,1/1/2017,W.P. Kuala Lumpur,Construction,16406.305
abs,1/1/2017,W.P. Kuala Lumpur,Services,180195.571
abs,1/1/2017,W.P. Kuala Lumpur,(plus) Import dutie,3555.524
abs,1/1/2017,W.P. Labuan,GDP at purchasers' prices,6789.806
abs,1/1/2017,W.P. Labuan,Agriculture,118.722
abs,1/1/2017,W.P. Labuan,Mining and quarrying,0
abs,1/1/2017,W.P. Labuan,Manufacturing,1295.515
abs,1/1/2017,W.P. Labuan,Construction,135.768
abs,1/1/2017,W.P. Labuan,Services,5092.569
abs,1/1/2017,W.P. Labuan,(plus) Import dutie,147.231
abs,1/1/2018,Johor,GDP at purchasers' prices,130585.945
abs,1/1/2018,Johor,Agriculture,16246.395
abs,1/1/2018,Johor,Mining and quarrying,711.119
abs,1/1/2018,Johor,Manufacturing,38337.729
abs,1/1/2018,Johor,Construction,9217.347
abs,1/1/2018,Johor,Services,64401.807
abs,1/1/2018,Johor,(plus) Import dutie,1671.547
abs,1/1/2018,Kedah,GDP at purchasers' prices,44803.83
abs,1/1/2018,Kedah,Agriculture,5467.96
abs,1/1/2018,Kedah,Mining and quarrying,114.924
abs,1/1/2018,Kedah,Manufacturing,12827.215
abs,1/1/2018,Kedah,Construction,1008.855
abs,1/1/2018,Kedah,Services,25104.159
abs,1/1/2018,Kedah,(plus) Import dutie,280.717
abs,1/1/2018,Kelantan,GDP at purchasers' prices,24142.691
abs,1/1/2018,Kelantan,Agriculture,5430.623
abs,1/1/2018,Kelantan,Mining and quarrying,359.496
abs,1/1/2018,Kelantan,Manufacturing,1281.173
abs,1/1/2018,Kelantan,Construction,324.425
abs,1/1/2018,Kelantan,Services,16721.126
abs,1/1/2018,Kelantan,(plus) Import dutie,25.848
abs,1/1/2018,Melaka,GDP at purchasers' prices,42375.671
abs,1/1/2018,Melaka,Agriculture,4567.438
abs,1/1/2018,Melaka,Mining and quarrying,61.964
abs,1/1/2018,Melaka,Manufacturing,16334.858
abs,1/1/2018,Melaka,Construction,1495.597
abs,1/1/2018,Melaka,Services,19730.706
abs,1/1/2018,Melaka,(plus) Import dutie,185.109
abs,1/1/2018,Negeri Sembilan,GDP at purchasers' prices,45694.04
abs,1/1/2018,Negeri Sembilan,Agriculture,3323.09
